Main category;EMIF-AD category;Variable name EMIF-AD;Variable name used;Variable Description ;Unity;Categories;Range or possible values;Type;Units;Visit independent;Specific information for harmonisation;Domain;Domain Vocabulary;Concept Id;Concept Id Link;Unit;Unit Concept Id;Unit Vocabulary;Values;Values Concept Id;Values Vocabulary;Info;Date;Comment
;;BECK Anxiety;Anxiety_rating_beck_anxiety;Anxiety Rating from Beck anxiety;numerical;;>0;num;;No;;Measurement;SNOMED;4128244;Athena-4128244;;;;;;;;Date_anxiety;
;;STAI;Anxiety_rating_state_trait;Anxiety Rating from State-Trait anxiety inventory ;numerical;;>0;num;;No;;Measurement;SNOMED;4169477;Athena-4169477;;;;;;;;Date_anxiety;
;;;Anxiety_rating_hospital_scale;Anxiety Rating from Hospital anxiety and depresson scale ;numerical;;>0;num;;No;;Measurement;SNOMED;4165145;Athena-4165145;;;;;;;;Date_anxiety;
;;;Anxiety_rating_other;Anxiety Rating from another alternative;numerical;;>0;;;No;;;;;;;;;;;;;Date_anxiety;
;Psychiatric disorders;;Anxiety_rating;Result assesment anxiety: rating scale;numerical;;>0;;;No;;;;;;;;;;;;;Date_anxiety;
;Psychiatric disorders;Anxiety;Anxiety;"Result assesment anxiety: yes;no";factor;"1 = yes; 0 = no";"1;0";bool;;No;;Condition;SNOMED;441542;Athena-441542;;;;"yes;no";"4188539;_";;Anxiety_cutoff;Date_anxiety;
;Psychiatric disorders;Anxiety;no_Anxiety;"Result assesment anxiety: yes;no";factor;"1 = yes; 0 = no";"1;0";bool;;No;;Observation;SNOMED;441542;Athena-441542;;;;"yes;no";"_;4132135";;Anxiety_cutoff;Date_anxiety;
;;;Anxiety_cutoff;Cutoff used ;0<…, 1>=…, cd;;;text;;No;;NA;;;;;;;;;;;Date_anxiety;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;mhi_5_questionnaire;MHI 5 questionnaire (Depression and Anxiety);numerical;;>0;num;;No;;Measurement;;2000000079;;;;;;;;;Date_depression;
;;;lidas_questionnaire;LIDAS (Self Report - Depression);numerical;;>0;num;;No;;Measurement;;2000000091;;;;;;;;;Date_depression;
;;;npi_questionnaire_frq;NPI questionnairet (Anxiety) - Frequency;numerical;;>0;num;;No;;Measurement;;2000000092;;;;;;;;;Date_depression;
;;;npi_questionnaire_sev;NPI questionnairet (Anxiety) - Severity;numerical;;>0;num;;No;;Measurement;;2000000100;;;;;;;;;Date_depression;
Cognition;Neuropsychological examination;;;;;;;;;;;;;;;;;;;;;;;
;Cognitive screening tests;Date MMSE;Date_MMSE;Date MMSE assessment;date;;;date;;No;;;;;;;;;;;;;;
;Cognitive screening tests;MMSE total score;MMSE_total;MMSE total score;numeric;;"0;30";num;;No;;Measurement;SNOMED;4169175;Athena-4169175;;;;;;;;Date_MMSE;
;Dates Neuropsychological evaluation;Date neuropsychological evaluation;Date_NPE;Date of neuropsychological examination ;Date;;;date;;No;;;;;;;;;;;;;;
;Priority Attention Test;Priority attention Type;Priority_attention_type;Priority test for attention;factor; 1 = Trail Making Test A, 2 = Stroop 1, 3 = Stroop 2, 4 = Symbol Digit Substitution Task, 5 = other;"1;5";;;No;"Priority for 1. Trail Making Test A 
2. Stroop 1
3. Stroop 2                                                                                                 
5. Symbol Digit Substitution Task                                                                                               9.  If not available, please provide alternative if possible";;;;;;;;;;;;Date_Attention;
;;TMT-A;Attention_test_tmt_a;Attention score from Trail Making Test Part  A ;numeric;;>0;num;;No;;;;;;;;;;;;;Date_Attention;
;;;Attention_test_tmt_a_time;Attention score from Trail Making Test Part  A - Time;numeric;;>0;num;;No;;Measurement;;2000000028;;;;;;;;;Date_Attention;
;;;Attention_test_tmt_a_errors;Attention score from Trail Making Test Part  A - Errors;numeric;;>0;num;;No;;Measurement;;2000000029;;;;;;;;;Date_Attention;
;;Stroop Part 1;Attention_test_stroop_1_time;Attention score from Stroop 1 - Time;numeric;;>0;num;;No;;Measurement;;2000000030;;sec;8555;UCUM;;;;;Date_Attention;
;;;Attention_test_stroop_1_errors;Attention score from Stroop 1 - Errors;numeric;;>0;num;;No;;Measurement;;2000000102;;;;;;;;;Date_Attention;
;;Stroop Part 2;Attention_test_stroop_2_time;Attention score from Stroop 2 - Time;numeric;;>0;num;;No;;Measurement;;2000000031;;sec;8555;UCUM;;;;;Date_Attention;
;;;Attention_test_stroop_2_errors;Attention score from Stroop 2 - Errors;numeric;;>0;num;;No;;Measurement;;2000000103;;;;;;;;;Date_Attention;
;;;Attention_test_stroop_1_adj;Attention score from Stroop 1 - adjusted for number of errors;numeric;;>0;num;;No;;Measurement;;2000000088;;;;;;;;;Date_Attention;
;;;Attention_test_stroop_2_adj;Attention score from Stroop 2 - adjusted for number of errors;numeric;;>0;num;;No;;Measurement;;2000000089;;;;;;;;;Date_Attention;
;;SDST;Attention_test_sdst_correct;Attention score from Symbol Digit Substitution Task - number correct   ;numeric;;>0;num;;No;;Measurement;;2000000032;;;;;;;;;Date_Attention;
;;;Attention_test_sdst_errors;Attention score from Symbol Digit Substitution Task - number incorrect   ;numeric;;>0;num;;No;;Measurement;;2000000120;;;;;;;;;Date_Attention;
;;;Attention_test_ldst_correct;Attention score from Letter Digit Substitution Task - number correct      ;numeric;;>0;num;;No;;Measurement;;2000000090;;;;;;;;;Date_Attention;
;;;Attention_test_ldst_errors;Attention score from Letter Digit Substitution Task - number incorrect      ;numeric;;>0;num;;No;;Measurement;;2000000121;;;;;;;;;Date_Attention;
;;;Alphabet_coding_task;Alphabet Coding Task-15 with verbal response;numeric;;>0;num;;No;;Measurement;;2000000122;;;;;;;;;Date_Attention;
;;;Attention_test_other;Attention score from another alternative;numeric;;>0;;;No;;;;;;;;;;;;;;
;Priority Attention Test;Priority attention ;Priority_attention;raw scores;numeric;;>0;;;No;;;;;;;;;;;;;Date_Attention;
;Priority Attention Test;Priority attention z-score;Priority_attention_z ;z-score;numeric;;>0;;;No;;;;;;;;;;;;;Date_Attention;
;Priority memory Test;priority memory type;Priority_memory_type;Priority test for  memory;factor ;1 = RAVLT,  2 = CERAD, 3 = Grober-Buschke FCSRT, 4 = Story recall test, 5 = Logical memory, 6 = Hopkins, 7 = VAT, 8 = Story recall Brescia, 9 = Recall Rey figure, 10 = MMSE, 11 =ADAS-Cog, 12 = 10 word list, 13 = immediate recall 10 word list, 14 = other;"1;14";;;No;"Priority for 1. Ray Auditory Verbal Learning Test (RAVLT)
2. CERAD
3. Grober-Buschke FCSRT
4. Story recall test
5. Logical memory
6. Hopkins
7. VAT
8. Story recall Brescia
9. Recall Rey figure
10. MMSE
11. ADAS-Cog
12. 10 word list
13. immediate recall 10 word list                                                                    14. if not available, please provide alternative if possible";;;;;;;;;;;;Date_Memory;
;;AVLT Immediate;Priority_memory_im_ravlt;Priority test from RAVLT (immediate);numeric;;>0;num;;No;;Measurement;;2000000033;;;;;;;;;Date_Memory;
;;CERAD WL Immediate;Priority_memory_im_cerad;Priority test from CERAD (immediate);numeric;;>0;num;;No;;Measurement;;2000000034;;;;;;;;;Date_Memory;
;;;Priority_memory_im_gb;Priority test from Grober-Buschke FCSRT (immediate);numeric;;>0;num;;No;;Measurement;;2000000035;;;;;;;;;Date_Memory;
;;SRT Immediate;Priority_memory_im_sct;Priority test from Story recall test (immediate);numeric;;>0;num;;No;;Measurement;;2000000036;;;;;;;;;Date_Memory;
;;LM Immediate;Priority_memory_im_lm;Priority test from Logical memory (immediate);numeric;;>0;num;;No;;Measurement;;2000000037;;;;;;;;;Date_Memory;
;;HVLT Immediate;Priority_memory_im_hopkins;Priority test from Hopkins (immediate);numeric;;>0;num;;No;;Measurement;;2000000038;;;;;;;;;Date_Memory;
;;;Priority_memory_im_vat_a;Priority test from VAT A  (immediate);numeric;;>0;num;;No;;Measurement;;2000000039;;;;;;;;;Date_Memory;
;;;Priority_memory_im_vat_b;Priority test from VAT B  (immediate);numeric;;>0;num;;No;;Measurement;;2000000040;;;;;;;;;Date_Memory;
;;;Priority_memory_im_srb;Priority test from Story recall Brescia (immediate);numeric;;>0;num;;No;;Measurement;;2000000041;;;;;;;;;Date_Memory;
;;;Priority_memory_im_rrf;Priority test from Recall Rey figure (immediate);numeric;;>0;num;;No;;Measurement;;2000000042;;;;;;;;;Date_Memory;
;;;Priority_memory_im_mmse;Priority test from MMSE (immediate);numeric;;>0;num;;No;;Measurement;;2000000043;;;;;;;;;Date_Memory;
;;;Priority_memory_im_adas;Priority test from ADAS-Cog (immediate);numeric;;>0;num;;No;;Measurement;;2000000044;;;;;;;;;Date_Memory;
;;;Priority_memory_im_10_word_list_correct;Priority test from 10 word list (immediate) - correct;numeric;;>0;num;;No;;Measurement;;2000000045;;;;;;;;;Date_Memory;
;;;Priority_memory_im_10_word_list_errors;Priority test from 10 word list (immediate) - incorrect;numeric;;>0;num;;No;;Measurement;;2000000046;;;;;;;;;Date_Memory;
;;;Priority_memory_im_15_word_list_correct;Priority test from 15 word list (immediate) - number of correct answers;numeric;;>0;num;;No;;Measurement;;2000000080;;;;;;;;;Date_Memory;
;;;Priority_memory_im_15_word_list_errors;Priority test from 15 word list (immediate) - number of incorrect answers;numeric;;>0;num;;No;;Measurement;;2000000081;;;;;;;;;Date_Memory;
;;;Priority_memory_im_pwlt;PWLT;numeric;;>0;num;;No;;Measurement;;2000000124;;;;;;;;;Date_Memory;
;;;Priority_memory_im_other;Priority test from another alternative  (immediate);numeric;;>0;;;No;;;;;;;;;;;;;Date_Memory;
;Priority memory Test;Priority memory immediate;Priority_memory_im;raw scores;numeric;;>0;;;No;;;;;;;;;;;;;Date_Memory;
;Priority memory Test;Priority memory immediate z-score;Priority_memory_im_z;z-score;numeric;;-3 - +3 SD;;;No;;;;;;;;;;;;;Date_Memory;
;;AVLT Delayed;Priority_memory_dr_ravlt;Priority test from RAVLT (delayed);numeric;;>0;num;;No;;Measurement;;2000000047;;;;;;;;;Date_Memory;
;;CERAD WL Delayed;Priority_memory_dr_cerad;Priority test from CERAD (delayed);numeric;;>0;num;;No;;Measurement;;2000000048;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_gb;Priority test from Grober-Buschke FCSRT (delayed);numeric;;>0;num;;No;;Measurement;;2000000049;;;;;;;;;Date_Memory;
;;SRT Delayed;Priority_memory_dr_sct;Priority test from Story recall test (delayed);numeric;;>0;num;;No;;Measurement;;2000000050;;;;;;;;;Date_Memory;
;;LM Delayed;Priority_memory_dr_lm;Priority test from Logical memory (delayed);numeric;;>0;num;;No;;Measurement;;2000000051;;;;;;;;;Date_Memory;
;;HVLT Delayed;Priority_memory_dr_hopkins;Priority test from Hopkins (delayed);numeric;;>0;num;;No;;Measurement;;2000000052;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_vat_a;Priority test from VAT A (delayed);numeric;;>0;num;;No;;Measurement;;2000000053;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_vat_b;Priority test from VAT B  (delayed);numeric;;>0;num;;No;;Measurement;;2000000054;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_srb;Priority test from Story recall Brescia (delayed);numeric;;>0;num;;No;;Measurement;;2000000055;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_rrf_short;Priority test from Recall Rey figure (short delay);numeric;;>0;num;;No;;Measurement;;2000000056;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_rrf_long;Priority test from Recall Rey figure (long delay);numeric;;>0;num;;No;;Measurement;;2000000057;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_mmse;Priority test from MMSE (delayed);numeric;;>0;num;;No;;Measurement;;2000000058;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_adas;Priority test from ADAS-Cog (delayed);numeric;;>0;num;;No;;Measurement;;2000000059;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_10_word_list_correct;Priority test from 10 word list (delayed) - number of correct answers;numeric;;>0;num;;No;;Measurement;;2000000060;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_10_word_list_errors;Priority test from 10 word list (delayed) - number of incorrect answers;numeric;;>0;num;;No;;Measurement;;2000000061;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_15_word_list_correct;Priority test from 15 word list (delayed) - number of correct answers;numeric;;>0;num;;No;;Measurement;;2000000082;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_15_word_list_errors;Priority test from 15 word list (delayed) - number of incorrect answers;numeric;;>0;num;;No;;Measurement;;2000000083;;;;;;;;;Date_Memory;
;;;Priority_memory_de_pwlt;PWLT;numeric;;>0;num;;No;;Measurement;;2000000125;;;;;;;;;Date_Memory;
;;;Priority_memory_dr_other;Priority test from another alternative  (delayed);numeric;;>0;;;No;;;;;;;;;;;;;Date_Memory;
;Priority memory Test;Priority memory delayed;Priority_memory_dr;raw scores ;numeric;;>0;;;No;;;;;;;;;;;;;Date_Memory;
;Priority memory Test;Priority memory delayed z -score;Priority_memory_dr_z;z-score;numeric;;-3 - +3 SD;;;No;;;;;;;;;;;;;Date_Memory;
;Priority executive Test;Priority executive type;Priority_executive_type;Priority test for executive function;factor;1 = Trail Making Test B, 2 = Stroop 3, 3 = other;"1;3";;;No;"Priority for 1. Trail Making Test B
2. Stroop 3                                                                                                 3. Concept Shifting Test Part A                                                    4. Concept Shifting Test Part B                                                     5. Concept Shifting Test Part C                                                                                                                    6. if not available, please provide alternative if possible";;;;;;;;;;;;Date_Executive;
;;TMT-B;Priority_executive_TMT_b;Priority test for executive function score from TMT B;numeric;;>0;num;;No;;;;;;;;;;;;;Date_Executive;
;;;Priority_executive_TMT_b_time;Priority test for executive function score from TMT B - Time;numeric;;>0;num;;No;;Measurement;;2000000062;;;;;;;;;Date_Executive;
;;;Priority_executive_TMT_b_errors;Priority test for executive function score from TMT B - Errors;numeric;;>0;num;;No;;Measurement;;2000000063;;;;;;;;;Date_Executive;
;;Stroop Part 3;Priority_executive_stroop_3_time;Priority test for executive function score from Stroop 3 - Time;numeric;;>0;num;;No;;Measurement;;2000000064;;sec;8555;UCUM;;;;;Date_Executive;
;;;Priority_executive_stroop_3_errors;Priority test for executive function score from Stroop 3 -Errors;numeric;;>0;num;;No;;Measurement;;2000000104;;;;;;;;;Date_Executive;
;;;Priority_executive_stroop_3_time_adj;Priority test for executive  Stroop 3 - Time adjusted;numeric;;>0;num;;No;;Measurement;;2000000101;;;;;;;;;Date_Executive;
;;CST-A;Priority_executive_cst_a_time;Concept Shifting Test A - Time;numeric;;>0;num;;No;;Measurement;;2000000065;;sec;8555;UCUM;;;;;Date_Executive;
;;;Priority_executive_cst_a_errors;Concept Shifting Test A - Incorrect;numeric;;>0;num;;No;;Measurement;;2000000117;;;;;;;;;Date_Executive;
;;CST-B;Priority_executive_cst_b_time;Concept Shifting Test B - Time;numeric;;>0;num;;No;;Measurement;;2000000066;;sec;8555;UCUM;;;;;Date_Executive;
;;;Priority_executive_cst_b_errors;Concept Shifting Test B - Incorrect;numeric;;>0;num;;No;;Measurement;;2000000118;;;;;;;;;Date_Executive;
;;CST-C;Priority_executive_cst_c_time;Concept Shifting Test C - Time;numeric;;>0;num;;No;;Measurement;;2000000067;;sec;8555;UCUM;;;;;Date_Executive;
;;;Priority_executive_cst_c_errors;Concept Shifting Test C - Incorrect;numeric;;>0;num;;No;;Measurement;;2000000119;;;;;;;;;Date_Executive;
;;;Priority_executive_vet;Visual elevator test (0-10);numeric;;>0;num;;No;;Measurement;;2000000084;;;;;;;;;Date_Executive;
;;;Priority_executive_bat;Brixton anticipation task (0-54);numeric;;>0;num;;No;;Measurement;;2000000085;;;;;;;;;Date_Executive;
;;;Priority_executive_Cijfferreeksspanne;Cijfferreeksspanne;numeric;;>0;num;;No;;Measurement;;2000000126;;;;;;;;;Date_Executive;
;;;Priority_executive_vosp;VOSP number location;numeric;;>0;num;;No;;Measurement;;2000000127;;;;;;;;;Date_Executive;
;;;Priority_executive_wais_3;WAIS-III digit span forward and backward;numeric;;>0;num;;No;;Measurement;;2000000128;;;;;;;;;Date_Executive;
;;;Priority_executive_other;Priority test for executive function score from another alternative;numeric;;;;;No;;;;;;;;;;;;;Date_Executive;
;Priority executive Test;Priority executive ;Priority_executive;raw score;numeric;;> 0;;;No;;;;;;;;;;;;;Date_Executive;
;Priority executive Test;Priority executive z-score;Priority_executive_z;z-score;numeric;;-3 - +3 SD;;;No;;;;;;;;;;;;;Date_Executive;
;Priority language test;Priority language type;Priority_language_type;Priority test for language;factor;"1 = Animal Fluency 1 min, 2 = Category Fluency 1 min, 3 = Letter Fluency 1 min, 4 = Any type of fluency 2 min, 5 = Boston Naming Test (15;30;60 items), 6 = Any picture naming test. 7 = other";"1;7";;;No;"Priority for 1. Animal Fluency 1 min
2. Category Fluency 1 min
3. Letter Fluency 1 min
4. Any type of fluency 2 min
5. Boston Naming Test (15;30;60 items)
6. Any picture naming test                                                                                 7. if not available, please provide alternative if possible";;;;;;;;;;;;Date_Language;
;;Animals Fluency 1 min;Priority_language_animal_fluency_correct;Priority test for language from Animal Fluency 1 min - correct;numeric;;>0;num;;No;;Measurement;;2000000068;;;;;;;;;Date_Language;
;;;Priority_language_animal_fluency_errors;Priority test for language from Animal Fluency 1 min - incorrect;numeric;;>0;num;;No;;Measurement;;2000000123;;;;;;;;;Date_Language;
;;;Priority_language_category_fluency;Priority test for language from Category Fluency 1 min;numeric;;>0;num;;No;;Measurement;;2000000069;;;;;;;;;Date_Language;
;;Letter Fluency 1 min;Priority_language_letter_fluency;Priority test for language from Letter Fluency 1 min;numeric;;>0;num;;No;;Measurement;;2000000070;;;;;;;;;Date_Language;
;;;Priority_language_any_fluency;Priority test for language from Any type of fluency 2 min;numeric;;>0;num;;No;;Measurement;;2000000071;;;;;;;;;Date_Language;
;;BNT-15;Priority_language_bnt_15;Priority test for language from  Boston Naming Test (15 items);numeric;;>0;num;;No;;Measurement;;2000000072;;;;;;;;;Date_Language;
;;BNT-30;Priority_language_bnt_30;Priority test for language from  Boston Naming Test (30 items);numeric;;>0;num;;No;;Measurement;;2000000073;;;;;;;;;Date_Language;
;;BNT-60;Priority_language_bnt_60;Priority test for language from  Boston Naming Test (60 items);numeric;;>0;num;;No;;Measurement;;2000000074;;;;;;;;;Date_Language;
;;;Priority_language_any_picture_naming_test;Priority test for language from Any picture naming  ;numeric;;>0;num;;No;;Measurement;;2000000075;;;;;;;;;Date_Language;
;;;Priority_language_verbal_fluency;Priority test for verbal fluency 1 min;numeric;;>0;num;;No;;Measurement;;2000000086;;;;;;;;;Date_Language;
;;;Priority_language_cantab;CANTAB;numeric;;>0;num;;No;;Measurement;;2000000129;;;;;;;;;Date_Language;
;;;Priority_language_other;Priority test for language from another alternative;numeric;;>0;;;No;;;;;;;;;;;;;Date_Language;
;Priority language test;Priority language;Priority_language;raw scores;numeric;;>0;;;No;;;;;;;;;;;;;Date_Language;
;Priority language test;Priority language z-score;Priority_language_z;z-score;numeric;;-3 - +3 SD;;;No;;;;;;;;;;;;;Date_Language;
;Fluid Intelligence;;fluid_intelligence_raven;Raven's colored progressive matrices;numeric;;>0;num;;No;;Measurement;;2000000130;;;;;;;;;Date_Fluid_Intelligence;
;Dexterity;;Dexterity_purdue_pegboard;Purdue pegboard test;numeric;;>0;num;;No;;Measurement;;2000000131;;;;;;;;;Date_Dexterity;
;;;Dexterity_clock_drawing;Clock drawing test;numeric;;>0;num;;No;;Measurement;;2000000132;;;;;;;;;Date_Dexterity;
;;;Dexterity_cogstate_battery;Cogstate battery;numeric;;>0;num;;No;;Measurement;;2000000133;;;;;;;;;Date_Dexterity;
;Cognitive impairment;;cognitive_impairment_overall;Cognitive impairment in any domain (definition may vary between cohorts, e.g. < 1.5. STD below norm);factor;"1=yes; 0=no";"1;0";bool;;No;;Observation;;2000000107;;;;;"yes;no";"4188539;4188540";;;Date_Attention;
;;;cognitive_impairment_attention;Cognitive impairment in attention domain (definition may vary between cohorts);factor;"1=yes; 0=no";"1;0";bool;;No;;Observation;;2000000108;;;;;"yes;no";"4188539;4188540";;;Date_Attention;
;;;cognitive_impairment_executive;Cognitive impairment in executive domain (definition may vary between cohorts);factor;"1=yes; 0=no";"1;0";bool;;No;;Observation;;2000000109;;;;;"yes;no";"4188539;4188540";;;Date_Executive;
;;;cognitive_impairment_memory;Cognitive impairment in memory domain (definition may vary between cohorts);factor;"1=yes; 0=no";"1;0";bool;;No;;Observation;;2000000110;;;;;"yes;no";"4188539;4188540";;;Date_Memory;
;;;cognitive_impairment_processing;Cognitive impairment in processing speed domain (definition may vary between cohorts);factor;"1=yes; 0=no";"1;0";bool;;No;;Observation;;2000000111;;;;;"yes;no";"4188539;4188540";;;Date_Language;
;Cognitive scores;;cognitive_score_overall;Overall cognitive score derived from the cognitive tests in multiple domains;numeric;;>=0;num;;No;;Measurement;;2000000112;;;;;;;;;Date_Attention;
;;;cognitive_score_memory;Cognitive score for the memory domain derived from the tests in the respective domain;numeric;;>=0;num;;No;;Measurement;;2000000113;;;;;;;;;Date_Memory;
;;;cognitive_score_processing;Cognitive score for the processing speed domain derived from the tests in the respective domain;numeric;;>=0;num;;No;;Measurement;;2000000114;;;;;;;;;Date_Language;
;;;cognitive_score_attention;Cognitive score for the attention domain derived from the tests in the respective domain;numeric;;>=0;num;;No;;Measurement;;2000000115;;;;;;;;;Date_Attention;
;;;cognitive_score_executive;Cognitive score for the executive domain derived from the tests in the respective domain;numeric;;>=0;num;;No;;Measurement;;2000000116;;;;;;;;;Date_Executive;
Plasma;;;;;;;;;;;;;;;;;;;;;;;;
;;;P_Tau;P-Tau in plasma;numeric;;>0;num;;No;;Measurement;SNOMED;44807681;Athena-44807681;;;;;;;;Date_Plasma;
;;;Amyloid_B_42;Amyloid-B-42 in plasma;numeric;;>0;num;;No;;Measurement;;2000000093;;pg/mL;8845;UCUM;;;;;Date_Plasma;
;;;Amyloid_B_40;Amyloid-B-40 in plasma;numeric;;>0;num;;No;;Measurement;;2000000094;;pg/mL;8845;UCUM;;;;;Date_Plasma;
;;;Amyloid_B_ratio_42_40;Ratio Amyloid B 42/40;numeric;;>0;num;;No;;Measurement;;2000000105;;;;;;;;;Date_Plasma;
;;;GFAP;Glial Fibrillary acidic protein;numeric;;>0;num;;No;;Measurement;;2000000095;;;;;;;;;Date_Plasma;
;;;NFL;Neurofilament light;numeric;;>0;num;;No;;Measurement;;2000000096;;;;;;;;;Date_Plasma;
;;;E_Selectin;E-selectin (CD62E);numeric;;>0;num;;No;;Measurement;;2000000097;;;;;;;;;Date_Plasma;
;;;SAA;Serum Amyloid A;numeric;;>0;num;;No;;Measurement;SNOMED;46284972;Athena-46284972;;;;;;;;Date_Plasma;
;;;VCAM;Vascular cellular adhesion molecule (CD106);numeric;;>0;num;;No;;Measurement;;2000000098;;;;;;;;;Date_Plasma;
;;;ICAM;Intercellular adhesion molecule (CD54);numeric;;>0;num;;No;;Measurement;;2000000099;;;;;;;;;Date_Plasma;
;;;Il6;Interleukin-6;numeric;;>0;num;;No;;Measurement;SNOMED;4332015;Athena-4332015;;;;;;;;Date_Plasma;
;;;Il8;Interleukin-8;numeric;;>0;num;;No;;Measurement;SNOMED;4166200;Athena-4166200;;;;;;;;Date_Plasma;
;;;Il_1b;Interleukin 1 beta;numeric;;>0;num;;No;;Measurement;SNOMED;4282774;Athena-4282774;;;;;;;;Date_Plasma;
;;;TNFalpha;Tumor necrosis factor alpa;numeric;;>0;num;;No;;Measurement;;2000000076;;;;;;;;;Date_Plasma;
;;;vwf;Von Willebrand factor (%);numeric;;>0;num;;No;;Measurement;SNOMED;4056962;Athena-4056962;%;;;;;;;Date_Plasma;Non-standard
;;;fluency_double;Fluency test number of double answers;numeric;;>=0;num;;No;;Measurement;;2000010000;;;;;;;;;date_additional;
;;;fluency_status;Fluency test status;factor;;"0;1;2;3;4;5;6;7";int;;No;"0 = not enough time.   1 = Complete and reliable: data can be used
2 = Technical problems: for example, problems with the stopwatch
3 = Refusal or insufficient motivation of the participant
4 = Physical limitations: for example, insufficient vision/hearing or missing glasses/hearing aids
5 = Participant deviated from instructions
6 = Test not administered: for example, forgotten
7 = Cognitive limitations, inability to grasp instructions";Measurement;;2000010001;;;;;"0;1;2;3;4;5;6;7";;;;date_additional;
;;;stroop_chart3_spontaneous_corrections;Strooptest spontaneous corrections for chart 3;numeric;;>=0;num;;No;;Measurement;;2000010002;;;;;;;;;date_additional;
;;;stroop_chart2_spontaneous_corrections;Strooptest spontaneous corrections for chart 2;numeric;;>=0;num;;No;;Measurement;;2000010003;;;;;;;;;date_additional;
;;;stroop_chart1_spontaneous_corrections;Strooptest spontaneous corrections for chart 1;numeric;;>=0;num;;No;;Measurement;;2000010004;;;;;;;;;date_additional;
;;;stroop_status;Strooptest status;factor;;"0;1;2;3;4;5;6;7";int;;No;;Measurement;;2000010005;;;;;"0;1;2;3;4;5;6;7";;;;date_additional;
;;;stroop_interference;Strooptest interference time;numeric;;>=0;num;sec;No;;Measurement;;2000010006;;sec;8555;UCUM;;;;;date_additional;
;;;wlt_double_trial_1;WLT double trial 1;numeric;;>=0;num;;No;;Measurement;;2000010007;;;;;;;;;date_additional;
;;;wlt_double_trial_2;WLT double trial 2;numeric;;>=0;num;;No;;Measurement;;2000010008;;;;;;;;;date_additional;
;;;wlt_double_trial_3;WLT double trial 3;numeric;;>=0;num;;No;;Measurement;;2000010009;;;;;;;;;date_additional;
;;;wlt_double_trial_4;WLT double trial 4;numeric;;>=0;num;;No;;Measurement;;2000010010;;;;;;;;;date_additional;
;;;wlt_double_trial_5;WLT double trial 5;numeric;;>=0;num;;No;;Measurement;;2000010011;;;;;;;;;date_additional;
;;;wlt_false_positive;WLT recognition false positive;numeric;;>=0;int;;No;;Measurement;;2000010012;;;;;;;;;date_additional;
;;;wlt_status;WLT status;factor;;"0;1;2;3;4;5;6;7";int;;No;;Measurement;;2000010013;;;;;"0;1;2;3;4;5;6;7";;;;date_additional;
;;;wlt_true_negative;WLT recognition correct-negative;numeric;;>=0;int;;No;;Measurement;;2000010014;;;;;;;;;date_additional;
;;;wlt_false_negative;WLT recognition false-negative;numeric;;>=0;int;;No;;Measurement;;2000010015;;;;;;;;;date_additional;
;;;wlt_true_positive;WLT recognition correct-positive;numeric;;>=0;int;;No;;Measurement;;2000010016;;;;;;;;;date_additional;
;;;cst_1_time_null;CST time for null version 1;numeric;;>=0;int;sec;No;;Measurement;;2000010017;;sec;8555;UCUM;;;;;date_additional;
;;;cst_2_time_null;CST time for null version 2;numeric;;>=0;int;sec;No;;Measurement;;2000010018;;sec;8555;UCUM;;;;;date_additional;
;;;cst_status;CST status;factor;;"0;1;2;3;4;5;6;7";int;;No;;Measurement;;2000010019;;;;;"0;1;2;3;4;5;6;7";;;;date_additional;
;;;cst_adjusted;CST total time for trail adjusted for the mean time needed to complete trails A and B;numeric;;>=0;int;sec;No;;Measurement;;2000010020;;sec;8555;UCUM;;;;;date_additional;
;;;ldst_status;LDST status;factor;;"0;1;2;3;4;5;6;7";int;;No;;Measurement;;2000010021;;;;;"0;1;2;3;4;5;6;7";;;;date_additional;
;;;ldst_30_correct;LDST correct after 30 seconds;numeric;;>=0;int;sec;No;;Measurement;;2000010022;;sec;8555;UCUM;;;;;date_additional;
;;;ldst_60_correct;LDST correct after 60 seconds;numeric;;>=0;int;sec;No;;Measurement;;2000010023;;sec;8555;UCUM;;;;;date_additional;
;;;ldst_90_correct;LDST correct after 90 seconds;numeric;;>=0;int;sec;No;;Measurement;;2000010024;;sec;8555;UCUM;;;;;date_additional;
;;;ldst_30_incorrect;LDST false after 30 seconds;numeric;;>=0;int;sec;No;;Measurement;;2000010025;;sec;8555;UCUM;;;;;date_additional;
;;;ldst_60_incorrect;LDST false after 60 seconds ;numeric;;>=0;int;sec;No;;Measurement;;2000010026;;sec;8555;UCUM;;;;;date_additional;
